series number,product type,model,repair operation number,previous repair operation number,time since previous repair,censored,age after repair,Component A,Component B,Component C,Component D,Component E,Component F,Component H,Component I,Component J,Component K
sn_000001,product A,V1E1,po_000001,MFG,5090,0,5090,0,0,0,1,1,0,0,0,0,0
sn_000001,product A,V1E2,po_000002,po_000001,5326,0,10366,0,0,0,0,1,0,0,0,0,0
sn_000001,product A,V1E2,po_000003,po_000002,3926,1,14242,0,0,0,0,0,0,0,0,0,0
sn_000002,product A,V1E1,po_000004,MFG,8686,0,8686,0,0,0,0,1,0,0,0,0,0
sn_000002,product A,V1E2,po_000005,po_000004,5690,1,14326,0,0,0,0,0,0,0,0,0,0
sn_000003,product A,V1E1,po_000006,MFG,1646,0,1646,0,0,0,0,0,0,0,0,0,0
sn_000003,product A,V1E1,po_000007,po_000006,2082,0,3678,0,0,0,0,1,0,0,0,0,0
sn_000003,product A,V1E2,po_000008,po_000007,10562,1,14190,0,0,0,0,0,0,0,0,0,0
sn_000004,product A,V1E1,po_000009,MFG,3054,0,3054,0,0,0,0,1,0,0,0,0,0
sn_000004,product A,V1E2,po_000010,po_000009,6266,1,9270,0,0,0,0,1,0,0,0,0,0
sn_000005,product A,V1E1,po_000011,MFG,3694,0,3694,0,0,0,0,1,0,0,0,0,0
sn_000005,product A,V1E2,po_000012,po_000011,5534,0,9178,0,0,0,0,1,0,0,0,0,0
sn_000005,product A,V1E2,po_000013,po_000012,5154,1,14282,0,0,0,0,0,0,0,0,0,0
sn_000006,product A,V1E1,po_000014,MFG,4322,0,4322,0,0,0,0,1,0,0,0,0,0
sn_000006,product A,V1E2,po_000015,po_000014,3238,0,7510,0,0,0,0,0,0,0,0,0,0
sn_000006,product A,V1E2,po_000016,po_000015,2062,0,9522,0,0,0,0,1,0,0,0,0,0
sn_000006,product A,V1E2,po_000017,po_000016,558,0,10030,0,0,0,0,1,0,0,0,0,0
sn_000006,product A,V1E2,po_000018,po_000017,4090,1,14070,0,0,0,0,0,0,0,0,0,0
sn_000007,product A,V1E1,po_000019,MFG,4346,0,4346,0,0,0,0,1,0,0,0,0,0
sn_000007,product A,V1E2,po_000020,po_000019,3034,0,7330,0,0,0,0,0,0,0,0,0,0
sn_000007,product A,V1E2,po_000021,po_000020,2590,0,9870,0,0,0,0,0,0,0,0,0,0
sn_000007,product A,V1E2,po_000022,po_000021,4430,1,14250,0,0,0,0,0,0,0,0,0,0
sn_000008,product A,V1E1,po_000023,MFG,14334,1,14334,0,0,0,0,0,0,0,0,0,0
sn_000009,product A,V1E1,po_000024,MFG,4254,0,4254,0,0,0,0,1,0,0,0,0,0
sn_000009,product A,V1E2,po_000025,po_000024,4534,0,8738,0,0,0,0,0,1,0,0,0,0
