Experiment,Best Model,Model Parameters,Error,Estimated Failure Time
test_0,Linear,[-1.27648358e-04  1.00888820e+00],0.0004906465772085413,3986.641175621493
test_1,Linear,[-1.05549486e-04  1.01045229e+00],0.00021904953607245462,4836.141890619846
test_2,Linear,[-9.83968038e-05  9.89754965e-01],0.00020648810124641786,4977.346275578445
test_3,Polynomial,[ 1.43881010e-07 -5.58547959e-04  9.88524191e-01],0.0023943975036898953,1330.9478429657217
test_4,Linear,[-1.04907767e-04  9.95158755e-01],0.00019811401430998708,4719.943720413782
test_5,Linear,[-1.0004788e-04  9.9852292e-01],0.000204048112450381,4982.843394595797
test_6,Linear,[-1.13823052e-04  9.89893006e-01],0.000310003302003601,4303.987596340481
test_7,Polynomial,[ 1.75346130e-07 -6.41855952e-04  9.80507356e-01],0.003918415278440205,1049.5532273376723
test_8,Linear,[-1.15200906e-04  9.92651844e-01],0.0003850659635876722,4276.458060666723
test_9,Linear,[-1.2178680e-04  9.9182698e-01],0.00041818214313598783,4038.426005770732
test_10,Polynomial,[ 1.72677158e-07 -6.34288509e-04  9.76979547e-01],0.0038387873831952435,1054.9969050464247
test_11,Linear,[-1.44488342e-04  1.00567342e+00],0.0008611311430107982,3499.752403984178
test_12,Polynomial,[ 1.92559899e-07 -6.80670104e-04  9.60037758e-01],0.005627499900002276,910.2629503095624
test_13,Linear,[-1.44605180e-04  9.80285583e-01],0.0009269666581966946,3321.358092349253
test_14,Linear,[-1.01308630e-04  1.00852197e+00],0.0002570227803669611,5019.532583788205
